,Path,distancia,unidade_tempo,tempo,horas_cst1,horas_cst2,horas_cst3,horas_cst4,horas_cst5,preço,Ano
0,.\Não vendidas\Calha - Layout\Precificação.Calha.xlsx,7.3,Semanas,11.0,20.0,20.0,,,,5720.0,2013
1,.\Não vendidas\Camaleão - 5s e MP\Planilha de Precificacao 2013_Camaleão.xlsx,14.4,Semanas,10.0,20.0,20.0,,,,5820.0,2013
2,.\Não vendidas\Chuva - Qualidade\Planilha de Precificacao chuva.xlsx,10.6,Semanas,4.0,20.0,20.0,,,,2340.0,2013
3,.\Não vendidas\Comunicação V\Planilha Precificação Intelbras.xlsx,18.5,Semanas,27.0,20.0,20.0,,,,15160.0,2013
4,.\Vendidas\Bobina - TRF\Vendas\Planilha de Precificacao BOBINA.xlsx,19.0,Semanas,5.0,20.0,20.0,5.0,,,3790.0,2013
5,.\Vendidas\Cerâmica - PCP\Vendas\Planilha de Precificacao - Cerâmica.xlsx,26.5,Semanas,18.0,15.0,,,,,10250.0,2013
6,.\Vendidas\Christmas - MP e PCP\Vendas\Planilha de Precificacao Christmas 2013.xlsx,10.0,Semanas,16.0,20.0,20.0,,,,7000.0,2013
7,.\Vendidas\Churrasco - PE\Vendas\Precificação Churrasco.xlsx,14.4,Semanas,19.0,20.0,20.0,,,,12000.0,2013
8,".\Vendidas\Compras II - PE, MP e Sistema de Custos\Vendas\Planilha de Precificacao - Compras 2.xlsx",7.0,Semanas,12.0,20.0,20.0,,,,6830.0,2013
11,.\Vendidas\Comunicação VI - MFV\Vendas\Planilha de Precificacao Intelbras Tiago 2013.1 2.xlsx,19.0,Semanas,3.0,14.0,13.0,14.0,20.0,,3380.0,2013
12,.\Vendidas\Construção V - MP\Vendas\Planilha de Precificacao - Construção V  (última proposta).xlsx,14.0,Semanas,30.0,20.0,20.0,5.0,,,15000.0,2013
13,.\Vendidas\Creme I - MFV e TRF\Vendas\Planilha de Precificacao 2013 - creme - MFV.xlsx,22.1,Semanas,3.0,20.0,20.0,5.0,,,2750.0,2013
14,.\Vendidas\Creme I - MFV e TRF\Vendas\Planilha de Precificacao 2013 - creme - TRF.xlsx,22.1,Semanas,5.0,20.0,20.0,,,,4010.0,2013
15,.\Vendidas\Destruction - Lean Construction\Vendas\Planilha de Precificacao 2013 Destruction.xlsx,30.0,Semanas,5.0,20.0,5.0,,,,2550.0,2013
16,.\Vendidas\Fontes - MP\Vendas\Planilha de Precificacao Fontes.xlsx,5.5,Semanas,8.0,20.0,20.0,,,,5470.0,2013
17,.\Vendidas\Glass - 5S\Vendas\Planilha de Precificacao 2013 - Glass.xlsx,20.0,Semanas,8.0,11.0,11.0,,,,3520.0,2013
19,.\Vendidas\Pilates - SAG e PCP\Vendas\Planilha de Precificacao - 2013.1 - Pilates.xlsx,18.0,Semanas,11.0,20.0,5.0,,,,4380.0,2013
20,.\Vendidas\Beta - 5S\Vendas\Precificação\Planilha de Precificacao BETA.xlsx,11.1,Semanas,8.0,20.0,20.0,,,,4190.0,2013
21,.\Vendidas\Boat I - Gestão de Rotina\Vendas\Precificação\Planilha de Precificacao 2013 - Boat.xlsx,24.0,Semanas,10.0,20.0,20.0,,,,6750.0,2013
22,.\Vendidas\Circuito - MTM\Vendas\Precificação\Planilha de Precificacao Circuito.xlsx,23.0,Semanas,5.0,20.0,,,,,1910.0,2013
23,.\Não vendidas\Labor -  PE Não apresentado\Apoio - Planilha de Projetos\Vendas\2ª Visita e Elaboração\Planilha de Precificacao 2013.xlsx,10.0,Semanas,10.0,20.0,,,,,3470.0,2013
