,Path,distancia,unidade_tempo,tempo,horas_cst1,horas_cst2,horas_cst3,horas_cst4,horas_cst5,area,detalhe,perspectiva_recompra,oportunidade,urgencia,tipo_empresa,risco,preço,Ano
0,.\Não vendidas\Almofada - 5S\Planilha de Precificação ALMOFADA.xlsx,26.0,Semanas,8.0,15.0,,,,,5S,Controle,Baixo,Médio,Baixo,Indústria,Baixo,2550.0,2014
1,.\Não vendidas\Batatosa - MP\Precificação 2014.1 Batatosa.xlsx,20.0,Semanas,8.0,10.0,10.0,,,,MP,Estado Atual,Baixo,Alto,Baixo,Indústria,Médio,3970.0,2014
2,.\Não vendidas\Brasa II - MP\PrecificaçãoBrasa.xlsx,40.0,Semanas,12.0,20.0,20.0,5.0,,,MP,Estado Atual,Médio,Médio,Baixo,Indústria,Médio,7630.0,2014
3,.\Não vendidas\Compras III - MP\Planilha de Precificacao 2013.2 - beiramar manutençã.xlsx,5.3,Semanas,18.0,20.0,20.0,,,,MP,Estado Atual,Alto,Alto,Baixo,Comércio/Serviço,Alto,11360.0,2014
4,.\Não vendidas\Corte II - Automatisa\Precificação - Corte II (Acrila e Vista).xlsx,14.1,Semanas,16.0,5.0,15.0,15.0,,,PCP,Controle,Médio,Alto,Baixo,Indústria,Médio,11170.0,2014
5,.\Não vendidas\Corte II - Automatisa\Precificação - Corte II (Acrila).xlsx,14.1,Semanas,11.0,5.0,15.0,15.0,,,PCP,Controle,Médio,Alto,Baixo,Indústria,Médio,8400.0,2014
6,.\Não vendidas\Egito - MP\Precificação Egito.xlsx,19.1,Semanas,7.0,20.0,20.0,5.0,,,MP,Estado Atual,Médio,Médio,Baixo,Indústria,Baixo,4500.0,2014
7,.\Não vendidas\Elétron - Lean - Kanban\Planilha de Precificacao 2013.2.xlsx,17.0,Semanas,11.0,20.0,20.0,5.0,,,PCP,Estado Futuro,Baixo,Médio,Baixo,Indústria,Médio,7900.0,2014
8,.\Não vendidas\Futuro - SAG\Precificação - Futuro (validada).xlsx,9.0,Semanas,8.0,15.0,20.0,,,,SAG,Adaptado,Médio,Alto,Baixo,Indústria,Baixo,4740.0,2014
9,.\Não vendidas\Oleosa - MP\Planilha de Precificação 2014.1.xlsx,10.0,Semanas,5.0,15.0,,,,,MP,Estado Atual,Baixo,Alto,Médio,Comércio/Serviço,Baixo,1950.0,2014
